,user_id,platform,os,browser,image,threshold
26789,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",247.jpg,60
26790,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",2085.jpg,60
26791,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1400.jpg,70
26792,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1358.jpg,70
26793,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",554.jpg,60
26794,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1496.jpg,60
26795,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1195.jpg,60
26796,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",2121.jpg,60
26797,u90,PC, , ,1836.jpg,70
26798,u90,PC, , ,857.jpg,60
26799,u90,PC, , ,1421.jpg,70
26800,u90,PC, , ,2015.jpg,60
26801,u90,PC, , ,228.jpg,60
26802,u90,PC, , ,1633.jpg,70
26803,u90,PC, , ,412.jpg,60
26804,u90,PC, , ,1694.jpg,60
26805,u91,PC, , ,1836.jpg,60
26806,u91,PC, , ,857.jpg,70
26807,u91,PC, , ,1421.jpg,70
26808,u91,PC, , ,2015.jpg,70
26809,u91,PC, , ,228.jpg,70
26810,u91,PC, , ,1633.jpg,70
26811,u91,PC, , ,412.jpg,100
26812,u91,PC, , ,1694.jpg,70
26813,u91,PC, , ,1936.jpg,60
26814,u91,PC, , ,257.jpg,60
26815,u91,PC, , ,1240.jpg,80
26816,u91,PC, , ,703.jpg,100
26817,u91,PC, , ,259.jpg,80
26818,u91,PC, , ,1834.jpg,90
26819,u91,PC, , ,226.jpg,100
26820,u91,PC, , ,420.jpg,100
26821,u91,PC, , ,417.jpg,100
26822,u91,PC, , ,729.jpg,80
26823,u91,PC, , ,511.jpg,80
26824,u91,PC, , ,564.jpg,100
26825,u91,PC, , ,974.jpg,80
26826,u91,PC, , ,700.jpg,100
26827,u91,PC, , ,1216.jpg,90
26828,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1836.jpg,90
26829,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",857.jpg,70
26830,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1421.jpg,90
26831,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",2015.jpg,90
26832,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",228.jpg,90
26833,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1633.jpg,80
26834,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",412.jpg,80
26835,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1694.jpg,80
26836,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1936.jpg,100
26837,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",257.jpg,90
26838,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1240.jpg,90
26839,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",703.jpg,100
26840,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",259.jpg,70
26841,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",1834.jpg,80
26842,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",226.jpg,60
26843,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",420.jpg,70
26844,u48,PC,5.0 (X11; Linux x86_64) AppleWebKit,"537.36 (KHTML, like Gecko) Ubuntu Chromium",417.jpg,90
